T2,F,p_value,n_jan,n_jul,p_dim,mahalanobis,variant
106804.95841747505,13348.944963233589,1.1102230246251565e-16,19332,36469,8,3.220332036019971,with
53990.61181905321,6747.979835231403,1.1102230246251565e-16,19332,36469,8,1.9509020062436333,without
