,precision,recall,f1-score,support
Tél,0.4664,0.6492,0.5428,13614.0
Tavasz,0.3793,0.038,0.0691,13892.0
Nyár,0.5482,0.8643,0.6709,20763.0
Ősz,0.3706,0.2834,0.3212,20441.0
accuracy,0.4818,0.4818,0.4818,0.4818
macro avg,0.4411,0.4587,0.401,68710.0
weighted avg,0.445,0.4818,0.4198,68710.0
