TrackID,YearMonth,x_idx,distance,variant
4507,2024-05,0,0.0,without
4507,2024-06,1,0.26023027300834656,without
4507,2024-07,2,0.2375456988811493,without
4507,2024-08,3,0.2654777467250824,without
4507,2024-09,4,0.15364661812782288,without
4507,2024-10,5,0.44565555453300476,without
4507,2024-11,6,1.0775642395019531,without
4507,2024-12,7,1.2082995176315308,without
4507,2025-01,8,1.197114109992981,without
4507,2025-02,9,1.218117117881775,without
4507,2025-03,10,0.7344711422920227,without
4507,2025-04,11,0.16006754338741302,without
4507,2025-05,12,0.11252828687429428,without
4507,2025-06,13,0.3561808168888092,without
4507,2025-07,14,0.5773156881332397,without
4507,2025-08,15,0.45022523403167725,without
4507,2025-09,16,0.5198531150817871,without
4507,2025-10,17,0.8989734649658203,without
4507,2025-11,18,1.6088197231292725,without
4507,2025-12,19,1.6966240406036377,without
4509,2024-05,0,0.0,without
4509,2024-06,1,0.2770834267139435,without
4509,2024-07,2,0.3818506598472595,without
4509,2024-08,3,0.3614216446876526,without
4509,2024-09,4,0.24148985743522644,without
4509,2024-10,5,0.5802827477455139,without
4509,2024-11,6,1.3159817457199097,without
4509,2024-12,7,1.5849539041519165,without
4509,2025-01,8,1.586539387702942,without
4509,2025-02,9,1.6982654333114624,without
4509,2025-03,10,1.0553433895111084,without
4509,2025-04,11,0.6322652101516724,without
4509,2025-05,12,0.5234349370002747,without
4509,2025-06,13,0.3523326516151428,without
4509,2025-07,14,0.3920730650424957,without
4509,2025-08,15,0.3822909891605377,without
4509,2025-09,16,0.3535086512565613,without
4509,2025-10,17,0.5749918818473816,without
4509,2025-11,18,1.231052041053772,without
4509,2025-12,19,1.5244513750076294,without
4511,2024-05,0,0.0,without
4511,2024-06,1,0.3731091022491455,without
4511,2024-07,2,0.41612866520881653,without
4511,2024-08,3,0.440047025680542,without
4511,2024-09,4,0.1694568246603012,without
4511,2024-10,5,0.20384211838245392,without
4511,2024-11,6,0.9719010591506958,without
4511,2024-12,7,1.1394035816192627,without
4511,2025-01,8,0.9993945956230164,without
4511,2025-02,9,1.1037636995315552,without
4511,2025-03,10,0.46507158875465393,without
4511,2025-04,11,0.274509072303772,without
4511,2025-05,12,0.2682436406612396,without
4511,2025-06,13,0.42419514060020447,without
4511,2025-07,14,0.3731065094470978,without
4511,2025-08,15,0.43818575143814087,without
4511,2025-09,16,0.37133654952049255,without
4511,2025-10,17,0.27991944551467896,without
4511,2025-11,18,0.5619628429412842,without
4511,2025-12,19,0.8341532349586487,without
4513,2024-05,0,0.0,without
4513,2024-06,1,0.20974969863891602,without
4513,2024-07,2,0.36910146474838257,without
4513,2024-08,3,0.3721533417701721,without
4513,2024-09,4,0.28571775555610657,without
4513,2024-10,5,0.7249476313591003,without
4513,2024-11,6,1.3039339780807495,without
4513,2024-12,7,1.3583199977874756,without
4513,2025-01,8,1.353192925453186,without
4513,2025-02,9,1.2915966510772705,without
4513,2025-03,10,1.2627466917037964,without
4513,2025-04,11,0.6835445165634155,without
4513,2025-05,12,0.814037024974823,without
4513,2025-06,13,0.20403465628623962,without
4513,2025-07,14,0.287870317697525,without
4513,2025-08,15,0.47357264161109924,without
4513,2025-09,16,0.7050374150276184,without
4513,2025-10,17,1.0889472961425781,without
4513,2025-11,18,1.2146674394607544,without
4513,2025-12,19,1.3230767250061035,without
4515,2024-05,0,0.0,without
4515,2024-06,1,0.3291113078594208,without
4515,2024-07,2,0.4848024249076843,without
4515,2024-08,3,0.43752792477607727,without
4515,2024-09,4,0.1263693869113922,without
4515,2024-10,5,0.5741504430770874,without
4515,2024-11,6,1.344630479812622,without
4515,2024-12,7,1.3753589391708374,without
4515,2025-01,8,1.1356141567230225,without
4515,2025-02,9,1.2151340246200562,without
4515,2025-03,10,0.7960672974586487,without
4515,2025-04,11,0.2621687054634094,without
4515,2025-05,12,0.2285645604133606,without
4515,2025-06,13,0.428413450717926,without
4515,2025-07,14,0.3011857569217682,without
4515,2025-08,15,0.27250728011131287,without
4515,2025-09,16,0.19656510651111603,without
4515,2025-10,17,1.1387614011764526,without
4515,2025-11,18,1.2701178789138794,without
4515,2025-12,19,1.164515495300293,without
4517,2024-05,0,0.0,without
4517,2024-06,1,0.32751524448394775,without
4517,2024-07,2,0.8778282999992371,without
4517,2024-08,3,1.010013461112976,without
4517,2024-09,4,0.8604016304016113,without
4517,2024-10,5,1.3102012872695923,without
4517,2024-11,6,1.5963553190231323,without
4517,2024-12,7,1.6602331399917603,without
4517,2025-01,8,1.8395073413848877,without
4517,2025-02,9,1.8357864618301392,without
4517,2025-03,10,1.109657883644104,without
4517,2025-04,11,1.2271579504013062,without
4517,2025-05,12,1.2629066705703735,without
4517,2025-06,13,0.8609674572944641,without
4517,2025-07,14,0.8276862502098083,without
4517,2025-08,15,0.823426365852356,without
4517,2025-09,16,0.8305440545082092,without
4517,2025-10,17,1.6468364000320435,without
4517,2025-11,18,1.8943135738372803,without
4517,2025-12,19,1.9670798778533936,without
4519,2024-05,0,0.0,without
4519,2024-06,1,0.22937540709972382,without
