TrackID,YearMonth,x_idx,distance,variant
4507,2024-05,0,0.0,with
4507,2024-06,1,0.44668257236480713,with
4507,2024-07,2,0.7732445001602173,with
4507,2024-08,3,0.7943708896636963,with
4507,2024-09,4,0.16559378802776337,with
4507,2024-10,5,0.648268461227417,with
4507,2024-11,6,1.229701042175293,with
4507,2024-12,7,1.368066430091858,with
4507,2025-01,8,1.3767181634902954,with
4507,2025-02,9,1.4307588338851929,with
4507,2025-03,10,0.9708839058876038,with
4507,2025-04,11,0.23453912138938904,with
4507,2025-05,12,0.2555485963821411,with
4507,2025-06,13,0.6035572290420532,with
4507,2025-07,14,0.6961553692817688,with
4507,2025-08,15,0.6306260228157043,with
4507,2025-09,16,0.5055961012840271,with
4507,2025-10,17,0.9855573177337646,with
4507,2025-11,18,1.6559572219848633,with
4507,2025-12,19,1.7207434177398682,with
4509,2024-05,0,0.0,with
4509,2024-06,1,0.5067839622497559,with
4509,2024-07,2,0.8860750198364258,with
4509,2024-08,3,0.8198111057281494,with
4509,2024-09,4,0.2255587875843048,with
4509,2024-10,5,0.6398260593414307,with
4509,2024-11,6,1.409279227256775,with
4509,2024-12,7,1.6359636783599854,with
4509,2025-01,8,1.6310514211654663,with
4509,2025-02,9,1.76826012134552,with
4509,2025-03,10,1.1127185821533203,with
4509,2025-04,11,0.679995596408844,with
4509,2025-05,12,0.6423808932304382,with
4509,2025-06,13,0.672531008720398,with
4509,2025-07,14,0.6736165285110474,with
4509,2025-08,15,0.6700794696807861,with
4509,2025-09,16,0.3551058769226074,with
4509,2025-10,17,0.754847526550293,with
4509,2025-11,18,1.3519808053970337,with
4509,2025-12,19,1.573832631111145,with
4511,2024-05,0,0.0,with
4511,2024-06,1,0.5330444574356079,with
4511,2024-07,2,0.7830811142921448,with
4511,2024-08,3,0.8336689472198486,with
4511,2024-09,4,0.1796494871377945,with
4511,2024-10,5,0.5068538188934326,with
4511,2024-11,6,1.1598875522613525,with
4511,2024-12,7,1.233641505241394,with
4511,2025-01,8,1.1008063554763794,with
4511,2025-02,9,1.3086187839508057,with
4511,2025-03,10,0.7814748883247375,with
4511,2025-04,11,0.46322187781333923,with
4511,2025-05,12,0.40819987654685974,with
4511,2025-06,13,0.7300305366516113,with
4511,2025-07,14,0.5335934162139893,with
4511,2025-08,15,0.5997750759124756,with
4511,2025-09,16,0.31421956419944763,with
4511,2025-10,17,0.5756798982620239,with
4511,2025-11,18,0.8211696147918701,with
4511,2025-12,19,0.9123850464820862,with
4513,2024-05,0,0.0,with
4513,2024-06,1,0.3412073254585266,with
4513,2024-07,2,0.8379566669464111,with
4513,2024-08,3,0.8031966090202332,with
4513,2024-09,4,0.17863643169403076,with
4513,2024-10,5,0.6475446820259094,with
4513,2024-11,6,1.241990089416504,with
4513,2024-12,7,1.322576642036438,with
4513,2025-01,8,1.3338910341262817,with
4513,2025-02,9,1.3895094394683838,with
4513,2025-03,10,1.2277250289916992,with
4513,2025-04,11,0.6280087232589722,with
4513,2025-05,12,0.7736669778823853,with
4513,2025-06,13,0.5723432898521423,with
4513,2025-07,14,0.41608455777168274,with
4513,2025-08,15,0.6478885412216187,with
4513,2025-09,16,0.6541208028793335,with
4513,2025-10,17,1.1082024574279785,with
4513,2025-11,18,1.353450894355774,with
