epoch,loss,mse,kl,beta,val_loss,val_mse,val_kl,val_beta,lr
0,15.843873023986816,15.843873023986816,164.4510498046875,0.0,11.483938217163086,11.483938217163086,170.88116455078125,0.0,0.0005
1,10.041983604431152,10.041983604431152,156.70082092285156,0.0,10.51203441619873,10.51203441619873,158.13333129882812,0.0,0.0005
2,9.442998886108398,9.442998886108398,149.18943786621094,0.0,10.079411506652832,10.079411506652832,154.9229278564453,0.0,0.0005
3,9.102399826049805,9.102399826049805,147.57733154296875,0.0,9.787656784057617,9.787656784057617,149.0740203857422,0.0,0.0005
4,8.868414878845215,8.868414878845215,144.13912963867188,0.0,9.57595157623291,9.57595157623291,147.63284301757812,0.0,0.0005
5,8.714513778686523,8.714513778686523,142.7276153564453,0.0,9.416831970214844,9.416831970214844,147.56956481933594,0.0,0.0005
6,10.679630279541016,9.024800300598145,24.82240867614746,0.06666667014360428,11.164179801940918,9.685312271118164,22.182920455932617,0.06666667014360428,0.0005
7,11.659972190856934,9.134516716003418,18.940914154052734,0.13333334028720856,12.35552978515625,9.855928421020508,18.746994018554688,0.13333334028720856,0.0005
8,12.685168266296387,9.30334758758545,16.909120559692383,0.20000000298023224,13.465709686279297,10.061238288879395,17.02242088317871,0.20000000298023224,0.0005
9,13.642341613769531,9.496369361877441,15.547380447387695,0.2666666805744171,14.466203689575195,10.273773193359375,15.72161865234375,0.2666666805744171,0.0005
10,14.545221328735352,9.702547073364258,14.528045654296875,0.3333333432674408,15.372014999389648,10.467554092407227,14.713397979736328,0.3333333432674408,0.0005
11,15.406805038452148,9.924826622009277,13.70493221282959,0.4000000059604645,16.30044937133789,10.739492416381836,13.902409553527832,0.4000000059604645,0.0005
12,16.220813751220703,10.15124797821045,13.006190299987793,0.46666666865348816,17.201950073242188,10.950177192687988,13.396661758422852,0.46666666865348816,0.0005
13,17.021995544433594,10.373790740966797,12.465380668640137,0.5333333611488342,17.914207458496094,11.099180221557617,12.778164863586426,0.5333333611488342,0.00025
14,17.78325653076172,10.607830047607422,11.95903205871582,0.6000000238418579,18.70998764038086,11.382572174072266,12.212360382080078,0.6000000238418579,0.00025
15,18.52722930908203,10.858742713928223,11.502707481384277,0.6666666865348816,19.491621017456055,11.626031875610352,11.798395156860352,0.6666666865348816,0.00025
16,19.247705459594727,11.112854957580566,11.092986106872559,0.7333333492279053,20.23434066772461,11.85727596282959,11.423286437988281,0.7333333492279053,0.00025
17,19.93773078918457,11.377523422241211,10.700244903564453,0.800000011920929,20.948238372802734,12.080218315124512,11.08502197265625,0.800000011920929,0.00025
18,20.5946044921875,11.635625839233398,10.33728313446045,0.8666666746139526,21.672029495239258,12.457067489624023,10.632649421691895,0.8666666746139526,0.00025
19,21.227746963500977,11.9075288772583,9.985955238342285,0.9333333373069763,22.293468475341797,12.717662811279297,10.259799003601074,0.9333333373069763,0.00025
20,21.829120635986328,12.178629875183105,9.650505065917969,1.0,22.9258975982666,13.01240062713623,9.913496971130371,1.0,0.00025
21,21.77243423461914,12.179166793823242,9.593283653259277,1.0,22.86249351501465,12.973548889160156,9.88893985748291,1.0,0.00025
