,precision,recall,f1-score,support
Tél,0.5281,0.7636,0.6244,13614.0
Tavasz,0.4319,0.0564,0.0997,13892.0
Nyár,0.6552,0.857,0.7427,20763.0
Ősz,0.4391,0.4308,0.4349,20441.0
accuracy,0.5498,0.5498,0.5498,0.5498
macro avg,0.5136,0.5269,0.4754,68710.0
weighted avg,0.5206,0.5498,0.4977,68710.0
