epoch,loss,mse,kl,beta,val_loss,val_mse,val_kl,val_beta,lr
0,17.63729476928711,17.63729476928711,158.6988067626953,0.0,12.199743270874023,12.199743270874023,147.11073303222656,0.0,0.0005
1,10.223260879516602,10.223260879516602,137.8727264404297,0.0,10.719558715820312,10.719558715820312,138.70704650878906,0.0,0.0005
2,9.494108200073242,9.494108200073242,132.83326721191406,0.0,10.237515449523926,10.237515449523926,131.68048095703125,0.0,0.0005
3,9.177045822143555,9.177045822143555,126.87687683105469,0.0,10.049884796142578,10.049884796142578,125.68226623535156,0.0,0.0005
4,8.957622528076172,8.957622528076172,121.95321655273438,0.0,9.779218673706055,9.779218673706055,121.83740234375,0.0,0.0005
5,8.804633140563965,8.804633140563965,117.60115814208984,0.0,9.628520011901855,9.628520011901855,116.79496765136719,0.0,0.0005
6,10.73128890991211,9.093151092529297,24.57223892211914,0.06666667014360428,11.420111656188965,9.923136711120605,22.45448875427246,0.06666667014360428,0.0005
7,11.80151653289795,9.237709045410156,19.228618621826172,0.13333334028720856,12.656193733215332,10.086338996887207,19.27388572692871,0.13333334028720856,0.0005
8,12.904866218566895,9.442720413208008,17.31072425842285,0.20000000298023224,13.847580909729004,10.324419021606445,17.615774154663086,0.20000000298023224,0.0005
9,13.920294761657715,9.6724853515625,15.929303169250488,0.2666666805744171,14.915037155151367,10.598118782043457,16.18846321105957,0.2666666805744171,0.0005
10,14.846125602722168,9.91533374786377,14.792362213134766,0.3333333432674408,15.873016357421875,10.826081275939941,15.140793800354004,0.3333333432674408,0.0005
11,15.705106735229492,10.160591125488281,13.861282348632812,0.4000000059604645,16.819339752197266,11.159916877746582,14.148553848266602,0.4000000059604645,0.0005
12,16.524944305419922,10.409768104553223,13.103943824768066,0.46666666865348816,17.628719329833984,11.296073913574219,13.569957733154297,0.46666666865348816,0.0005
13,17.347339630126953,10.662740707397461,12.533634185791016,0.5333333611488342,18.447975158691406,11.581171989440918,12.875277519226074,0.5333333611488342,0.00025
14,18.11964225769043,10.91598129272461,12.006122589111328,0.6000000238418579,19.238388061523438,11.873573303222656,12.274690628051758,0.6000000238418579,0.00025
15,18.86818504333496,11.179548263549805,11.532960891723633,0.6666666865348816,20.062129974365234,12.17643928527832,11.828536033630371,0.6666666865348816,0.00025
16,19.593303680419922,11.448795318603516,11.106186866760254,0.7333333492279053,20.806453704833984,12.419930458068848,11.436155319213867,0.7333333492279053,0.00025
17,20.288982391357422,11.72196102142334,10.708805084228516,0.800000011920929,21.556676864624023,12.71489429473877,11.052225112915039,0.800000011920929,0.00025
